instance,radius_mm,resect_pct,objective,subnetwork,value,pct_initial,removed_nodes
168,15,96.51147325777706,ge,Multiple_Demand_Extended_Network,0.5355884425651868,85.29741863075196,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
168,15,96.51147325777706,modularity,overall,0.24247971615316166,91.844362437887,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
168,16,96.51147325777706,ge,overall,0.5437686990611781,89.3131743604299,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
168,16,96.51147325777706,ge,Visual_Network,0.6448202959830867,95.68627450980392,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
168,16,96.51147325777706,ge,Multiple_Demand_Extended_Network,0.5355884425651868,85.29741863075196,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
168,16,96.51147325777706,modularity,overall,0.24247971615316166,91.844362437887,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 0, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 24, 25, 27, 29, 31]"
170,0,32.07292482240339,ge,overall,0.5675551944702362,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,0,32.07292482240339,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,0,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,0,32.07292482240339,modularity,overall,0.24330635883135854,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,1,32.07292482240339,ge,overall,0.5675551944702362,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,1,32.07292482240339,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,1,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,1,32.07292482240339,modularity,overall,0.24330635883135854,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,2,32.07292482240339,ge,overall,0.5675551944702362,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,2,32.07292482240339,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,2,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,2,32.07292482240339,modularity,overall,0.24330635883135854,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,3,32.07292482240339,ge,overall,0.5675551944702362,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,3,32.07292482240339,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,3,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,3,32.07292482240339,modularity,overall,0.24330635883135854,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,4,32.07292482240339,ge,overall,0.5675551944702362,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,4,32.07292482240339,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,4,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,4,32.07292482240339,modularity,overall,0.24330635883135854,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,5,32.07292482240339,ge,overall,0.5675551944702362,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,5,32.07292482240339,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,5,32.07292482240339,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,5,32.07292482240339,modularity,overall,0.24330635883135854,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32]"
170,6,37.52090216641259,ge,overall,0.562867533271433,99.17406073550632,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 12, 13]"
170,6,37.52090216641259,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 12, 13]"
170,6,37.52090216641259,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 12, 13]"
170,6,37.52090216641259,modularity,overall,0.24321272912792044,99.96151777376973,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 12, 13]"
170,7,43.93740881602343,ge,overall,0.5561152378004746,97.9843446450279,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,7,43.93740881602343,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,7,43.93740881602343,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,7,43.93740881602343,modularity,overall,0.2431187233385632,99.92288097454723,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,8,43.93740881602343,ge,overall,0.5561152378004746,97.9843446450279,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,8,43.93740881602343,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,8,43.93740881602343,ge,Multiple_Demand_Extended_Network,0.5586680761099366,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,8,43.93740881602343,modularity,overall,0.2431187233385632,99.92288097454723,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 11, 12, 13, 29]"
170,9,61.90890061052391,ge,overall,0.5494235530795419,96.80530782426922,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 7, 11, 12, 13, 22, 29, 31]"
170,9,61.90890061052391,ge,Visual_Network,0.6502818886539816,100.0,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 7, 11, 12, 13, 22, 29, 31]"
170,9,61.90890061052391,ge,Multiple_Demand_Extended_Network,0.5213178294573643,93.3144118574582,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 7, 11, 12, 13, 22, 29, 31]"
170,9,61.90890061052391,modularity,overall,0.24310879489237114,99.91880033882536,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 7, 11, 12, 13, 22, 29, 31]"
170,10,69.69441243166938,ge,overall,0.541064427937687,95.33247747696575,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 10, 11, 12, 13, 17, 22, 25, 29, 31]"
170,10,69.69441243166938,ge,Visual_Network,0.6321353065539113,97.20942833920348,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 10, 11, 12, 13, 17, 22, 25, 29, 31]"
170,10,69.69441243166938,ge,Multiple_Demand_Extended_Network,0.5213178294573643,93.3144118574582,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 10, 11, 12, 13, 17, 22, 25, 29, 31]"
170,10,69.69441243166938,modularity,overall,0.2427338268846187,99.76468681316435,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 10, 11, 12, 13, 17, 22, 25, 29, 31]"
170,11,78.89800099227321,ge,overall,0.5349685339936037,94.25841560536692,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 17, 22, 24, 25, 27, 29, 31]"
170,11,78.89800099227321,ge,Visual_Network,0.6321353065539113,97.20942833920348,"[1, 2, 3, 16, 20, 23, 26, 28, 30, 32, 4, 5, 7, 8, 10, 11, 12, 13, 17, 22, 24, 25, 27, 29, 31]"
