instance,subnetwork,surrogate_prediction,surrogate_true,exact_true,gap_pct,surrogate_construction_s,surrogate_s,exact_construction_s,exact_s,jaccard,archived_exact_objective
181,overall,0.5204681155538264,0.5252901578458682,0.5277772619416073,0.4712412366136241,88.24916934967041,11.441202878952026,373.86965,66.123073,0.8461538461538461,0.5277772619402925
181,Visual_Network,0.34599458439254865,0.34041578576462295,0.34499647639182524,1.3277499744663563,88.24916934967041,18.626753091812134,373.86965,47.443153,0.8181818181818182,0.34499647639182723
181,Multiple_Demand_Extended_Network,0.5919636229776493,0.5771670190274841,0.5771670190274841,0.0,88.24916934967041,13.862142086029053,373.86965,46.073174,0.7647058823529411,0.5771670190274717
182,overall,0.5406621528642424,0.5476336015681419,0.5476336015681419,0.0,83.7095091342926,10.520982027053833,377.512228,78.089389,1.0,0.5476336015667043
182,Visual_Network,0.4897680171460431,0.48431994362226916,0.4848484848484848,0.10901162790697799,83.7095091342926,11.794548988342285,377.512228,58.869235,0.9166666666666666,0.48484848484847437
182,Multiple_Demand_Extended_Network,0.6055520423496481,0.5976039464411557,0.5976039464411557,0.0,83.7095091342926,10.07508897781372,377.512228,56.189821,0.6428571428571429,0.5976039464411457
183,overall,0.5479133473619129,0.5527893840916125,0.5527997008150212,0.0018662679074294053,93.91943979263306,4.728686094284058,369.407202,67.367385,0.7894736842105263,0.5527997008135948
183,Visual_Network,0.43603932730058625,0.43833685694150815,0.43833685694150815,0.0,93.91943979263306,10.40122103691101,369.407202,41.674856,0.9545454545454546,0.43833685694150043
183,Multiple_Demand_Extended_Network,0.6069600191818245,0.5988372093023255,0.5990133897110641,0.029411764705885777,93.91943979263306,8.747679948806763,369.407202,49.526848,0.8181818181818182,0.5990133897110542
184,overall,0.5440888768304166,0.5468224491901373,0.5468946662539976,0.013204931098514547,109.15062403678894,7.383164882659912,414.601075,87.005024,0.9,0.546894666252662
184,Visual_Network,0.6836909729579173,0.6578576462297392,0.6578576462297392,0.0,109.15062403678894,6.090763807296753,414.601075,44.191336,0.782608695652174,0.657857646229744
