instance,paper experiment instance id,obj1,subnetwork1,obj2,subnetwork2,MeanExecutionTime,nbIterations,ExecutionTime,MNRPExecutionTime,MNRPMeanExecutionTime,MNRPnbIterations,hausdorff_distance,igd_distance,Diag,MNRPTolerance,TumorPct,ResectPct,Tolerance,hausdorff/diag,igd/diag,TumorSubnetwork
104.0,9.0,ge,overall,ge,Visual_Network,17.1788376172384,3.0,51.5365128517151,70.2086741924286,70.2086741924286,1.0,1.56206336236025e-10,1.56206336236025e-10,0.0,4.0,10.0,80.0,4.0,,,Visual_Network
107.0,10.0,ge,overall,ge,Visual_Network,23.4869212309519,9.0,211.382291078568,1001.05353021622,100.105353021622,10.0,0.21568763044814,0.0539219077427275,6.22331209610477,4.0,10.0,80.0,4.0,0.03465801283,0.008664503228,Visual_Network
108.0,11.0,ge,overall,ge,Visual_Network,24.977681239446,9.0,224.799131155014,71.1789801120758,71.1789801120758,1.0,1.12820835678416e-10,1.12806496003716e-10,3.77178738783627,4.0,10.0,80.0,4.0,0,0,
108.0,11.0,ge,overall,ge,Multiple_Demand_Extended_Network,16.9069230556488,2.0,33.8138461112976,70.1131479740143,70.1131479740143,1.0,1.12831002374819e-10,1.12831002374819e-10,0.0,4.0,10.0,80.0,4.0,,,
110.0,12.0,ge,overall,ge,Visual_Network,19.1734900474548,2.0,38.3469800949097,521.668030977249,65.2085038721561,8.0,0.113008854336641,0.0713960912956585,3.17451604170751,4.0,10.0,80.0,4.0,0.03559876619,0.02249038605,
110.0,12.0,ge,overall,ge,Multiple_Demand_Extended_Network,25.1236121313913,7.0,175.865284919739,387.674911022186,96.9187277555466,4.0,1.26790787578461e-10,1.25729511268894e-10,3.45563542098179,4.0,10.0,80.0,4.0,0,0,
111.0,13.0,ge,overall,ge,Multiple_Demand_Extended_Network,27.071624994278,6.0,162.429749965668,713.949486970901,79.3277207745446,9.0,0.00521522260255836,0.00521522260255836,0.0,4.0,10.0,80.0,4.0,,,Multiple_Demand_Extended_Network
112.0,14.0,ge,overall,ge,Visual_Network,15.7314835786819,2.0,31.4629671573639,223.088999032974,74.3629996776581,3.0,0.0438944907266148,0.0355449951579251,4.92589792666283,4.0,10.0,80.0,4.0,0.008910962302,0.007215942289,Visual_Network
113.0,15.0,ge,overall,ge,Visual_Network,20.0346989631653,4.0,80.1387958526611,375.80708694458,75.161417388916,5.0,0.0391547528441549,0.0142080538677805,4.09423374415582,4.0,10.0,80.0,4.0,0.009563389706,0.003470259579,
113.0,15.0,ge,overall,ge,Multiple_Demand_Extended_Network,16.6569050550461,2.0,33.3138101100922,69.8182759284973,69.8182759284973,1.0,0.0188339316618453,0.0188339316618453,0.0,4.0,10.0,80.0,4.0,,,
114.0,16.0,ge,overall,ge,Multiple_Demand_Extended_Network,18.8995156685511,6.0,113.397094011307,67.8391470909119,67.8391470909119,1.0,1.89820363471069e-10,1.89820363471069e-10,0.0,4.0,10.0,80.0,4.0,,,Multiple_Demand_Extended_Network
115.0,17.0,ge,overall,ge,Visual_Network,27.4914963245392,6.0,164.948977947235,1179.33608007431,69.3727105926065,17.0,0.597424316664714,0.199141438995383,5.27211956075563,4.0,10.0,80.0,4.0,0.1133176723,0.03777255745,Visual_Network
116.0,18.0,ge,overall,ge,Visual_Network,27.9749915599823,11.0,307.724907159805,582.902956008911,72.8628695011139,8.0,0.0334378967589117,0.0127497017529777,7.14187547876329,4.0,10.0,80.0,4.0,0.004681949,0.001785203591,
116.0,18.0,ge,overall,ge,Multiple_Demand_Extended_Network,31.6825362954821,14.0,443.555508136749,1068.78695893288,76.3419256380626,13.0,0.24420102373593,0.109144975041144,3.54309802646484,4.0,10.0,80.0,4.0,0.06892302214,0.03080495494,
117.0,19.0,ge,overall,ge,Multiple_Demand_Extended_Network,33.3397627472878,20.0,666.795254945755,2108.07427716255,84.3229710865021,25.0,0.013914495527672,0.00327156301421537,11.7406243042787,4.0,10.0,80.0,4.0,0.00118515806,0.000278653241,Multiple_Demand_Extended_Network
118.0,20.0,ge,overall,ge,Visual_Network,27.6698390007019,10.0,276.698390007019,1289.92009997368,107.493341664473,12.0,3.20054466673838,0.924688150259041,13.7026593440977,4.0,10.0,80.0,4.0,0.2335710599,0.06748238623,Visual_Network
